store_item,LightGBM_full,XGBoost_full,LightGBM_no_weather,XGBoost_no_weather,LightGBM_no_calendar,XGBoost_no_calendar,LightGBM_no_promotion,XGBoost_no_promotion
3_30,0.7025958109990553,0.8434460368456793,0.7222965057396527,0.9544038911347468,0.7535375280085702,0.7212809785850415,0.6841427873353371,0.869439269427549
3_4,0.6556600402089564,0.7345192783501541,0.6755385108906792,0.7804725633223395,0.7326247704535191,0.7294381935617194,0.6451334171275678,0.7366949399058182
3_5,0.6098533357789839,0.6410025481516606,0.6207016153031086,0.6641620105425201,0.6944920749372165,0.6928843166308516,0.6286766548443752,0.6897845850180668
3_6,0.7118867325439968,0.7887289478436307,0.7156927048622201,0.853490647250451,0.7463941045280091,0.7481577936166638,0.7038657670299383,0.8352565659549235
3_7,0.927475653489491,1.0154461697121528,0.9330595809400473,1.0631130607020234,0.9891014190736513,1.0192596244276608,0.934465301528662,1.0378208919733969
3_8,0.5945009110491533,0.657508383133374,0.6102260123371226,0.6673069622530128,0.6890724156430422,0.6947807865612475,0.591404666190764,0.6856256647850876
3_9,0.6725581243318077,0.7101385787056055,0.7191765282351322,0.7208389894811921,0.790031222065646,0.8652620955217079,0.6543219934572437,0.6981591225122278
4_1,0.6307279228766127,0.6610016123169711,0.634557105538911,0.6627491724989103,0.7239121194567697,0.7276264708012369,0.6306785341018354,0.6618776603472403
4_10,0.820554637596467,0.882270345557347,0.8730412037409485,0.8890295507788616,0.9034510497853456,0.9116692078523045,0.8166462169234351,0.8990335668069377
4_11,0.6635191690035266,0.7038977727531783,0.6716169682344697,0.7098332513701046,0.725043284736024,0.7340381859379181,0.6652018310628661,0.7104701844668821
4_12,0.7175403865000871,0.7350381351152403,0.7251963938042373,0.7396798986780929,0.7716909815904245,0.7819642902121429,0.729099432751597,0.7588444134376285
4_13,1.0121064168254368,1.0470686173341721,0.9856586310789154,1.0336185219262586,1.0424425935809913,1.0831881136392998,1.0467054981581736,1.0888922538557273
4_14,0.9184223450572184,0.9867798116969703,0.9372316327171164,1.0126952492332963,1.0760651135384551,1.0777340544334448,0.9612591713559316,0.9864162824508257
4_15,0.9631614578472587,1.027639592329915,0.9811221847692717,1.0427852327335905,1.0305273069813103,1.0485000024389841,0.9948444057660586,1.02942167394582
4_16,0.6505838884915918,0.7100665014513781,0.6640536505989119,0.7130256787866586,0.6943993518958296,0.6998632088744065,0.6541874650981838,0.7184360766765455
4_17,0.7122116570816458,0.7459915967614932,0.7191134239855951,0.7425969522536613,0.7650201956209575,0.7627849847598616,0.7078427005334017,0.7521740481723563
4_18,0.8219146412341736,0.8521349069629384,0.8477330676148022,0.8666018926581062,0.855050307915016,0.8806583984534435,0.8353887904118553,0.926248727678562
4_19,0.8401056371060752,0.8927049285454859,0.8314446001453368,0.9176709761182882,0.8320315035523235,0.8878393053138373,0.8790650062781702,0.9537403028572817
4_2,0.7608801111153641,0.7785573678120143,0.7718761638522844,0.8033980997499119,0.8516590862822798,0.85139970839868,0.7864222395876289,0.829185795684037
4_20,0.4528697064223048,0.4698254599806002,0.45875347618711665,0.49084675674171435,0.5524891420775081,0.5555701006427953,0.45804017612525966,0.49588488468820907
4_21,0.6603643182408871,0.6887354154986854,0.655459734119284,0.7067283752645481,0.7182566385863626,0.7250745925466169,0.6776739082961161,0.7667137386877665
4_22,0.5973468381984841,0.6308335090879251,0.6074894389932206,0.6462588942348135,0.690416597783915,0.6891966386491076,0.6144205232318374,0.6823750543123689
4_23,0.8114632216150347,0.911368836197421,0.8432659590927192,0.9377561831753425,0.9119262662515172,0.8983252552030281,0.8498181547446422,0.9659114720391415
4_24,0.712127210451918,0.7286631999237333,0.7200998910464892,0.7471060569160717,0.743801985075191,0.7644813208200292,0.7348488224089025,0.7946232145291522
4_25,0.6017354751329589,0.6317130282034579,0.6096033409675524,0.6478189101367484,0.687805500659135,0.6867550995059203,0.6168529902270132,0.6887256662821261
